TOSPCD,TOSPDSC
SL709E,"EYE, THERMAL PHOTOCOAGULATION OF CHOROIDAL NEOVASCULARIZATION AND ALLIED CONDITIONS"
SL710E,"EYELIDS, NON-INVOLUTIONAL ENTROPION/ ECTROPION CORRECTION (UNILATERAL)"
SL711E,"EYELIDS, NON-INVOLUTIONAL ECTROPION/ ENTROPION, CORRECTION (BILATERAL)"
SL712E,"EYE, MEDIAL CANTHAL RECONSTRUCTION, BILATERAL"
SL713E,"EYE, MEDIAL CANTHAL RECONSTRUCTION, UNILATERAL"
SL714E,"EYE, NEEDLING OF BLEBS WITH ANTI-METABOLITES"
SL715E,"EYE, SOCKET, COMPLEX ANOPHTHALMIC SOCKET RECONSTRUCTION"
SL716E,"EYELID, PTOSIS, CONJUNCTIVAL MULLERECTOMY (BILATERAL)"
SL717E,"EYELID, PTOSIS, CONJUNCTIVAL MULLERECTOMY (UNILATERAL)"
SL718E,"EYELIDS, VARIOUS LESIONS, UPPER BLEPHAROPLASTY, BILATERAL"
SL719E,"EYEBALL, ENUCLEATION WITH ACRYLIC & SCLERAL BALL IMPLANT"
SL720E,"EYELID LOWERING (GOLD WEIGHT IMPLANT), BILATERAL"
SL721E,"EYELID LOWERING (GOLD WEIGHT IMPLANT), UNILATERAL"
SL722E,"EYELIDS, BOTOX INJECTIONS FOR BLEPHAROSPASM & HEMIFACIAL SPASM"
SL723E,"EYELIDS, CHALAZION OR STYE EXCISION UNDER GENERAL ANAESTHESIA"
SL725E,"EYELIDS, VARIOUS LESIONS, MAJOR RECONSTRUCTION, INVOLVING ANTERIOR AND POSTERIOR LAMELLA AND MORE THAN 1/3 LID"
SL726E,"EYE, SQUINT, OPERATION (ONE/BOTH EYES - 2 MUSCLES)"
SL800E,"EYE, EXOPHTHALMOS DUE TO THYROTOXICOSIS, RETRACTOR RECESSIONS (BILATERAL)"
SL801E,"EYE, EXOPHTHALMOS DUE TO THYROTOXICOSIS, RETRACTOR RECESSIONS (UNILATERAL)"
SL803E,"EYE, GLAUCOMA, FILTERING AND ALLIED OPERATIONS (INCLUDING TRABECULECTOMY / SCLERECTOMY)"
SL804E,"EYE, GLAUCOMA, GONIOTOMY/TRABECULOTOMY (UNILATERAL)"
SL805E,"EYE, GLAUCOMA, SELECTIVE LASER TRABECULOPLASTY (UNILATERAL)"
SL806E,"EYE, INTRAOCULAR FOREIGN BODY, REMOVAL FROM ANTERIOR SEGMENT"
SL807E,"EYE, INTRAOCULAR FOREIGN BODY, REMOVAL FROM POSTERIOR SEGMENT"
SL808E,"EYE, PERFORATING WOUND (NOT INVOLVING INTRAOCULAR STRUCTURES), REPAIR"
SL809E,"EYE, PERFORATING WOUND (WITH INCARCERATION/PROLAPSE OF UVEAL TISSUE/LENS/VITREOUS), REPAIR"
SL810E,"EYE, SQUINT, COMPLEX STRABISMUS SURGERY (VESSEL SPARING SX, PARALYTIC AND RESTRICTIVE STRABISMUS, HORIZONTAL COMBINED WITH OBLIQUE/VERTICAL"
SL811E,"EYE, SQUINT, OPERATION (ONE/BOTH EYES - 3 MUSCLES OR MORE)"
SL812E,"EYE, SQUINT, OPERATION (ONE/BOTH EYES - ADJUSTABLE SUTURES)"
SL813E,"EYE, SQUINT, OPERATION (ONE/BOTH EYES - TRANSPOSITION)"
SL814E,"ORBITAL, ENUCLEATION WITH INTEGRATED ORBITAL IMPLANT"
SL815E,"EYE, VARIOUS LESIONS, ENUCLEATION WITHOUT IMPLANT"
SL816E,"EYE, VARIOUS LESIONS, EVISCERATION"
SL818E,"EYE, VARIOUS LESIONS, RESUTURING OF WOUND FOLLOWING INTRAOCULAR PROCEDURES"
SL819E,"EYE, VARIOUS LESIONS, RETROBULAR INJECTION"
SL820E,"EYELIDS, CHALAZION CYST/STYE, EXCISION"
SL821E,"EYELIDS, ECTROPION, RETROPUNCTAL CAUTERY"
SL823E,"EYELID, INVOLUTIONAL ENTROPION / ECTROPION CORRECTION (UNILATERAL)"
SL824E,"EYELIDS, INVOLUTIONAL ECTROPION/ ENTROPION CORRECTION (BILATERAL)"
SL826E,"EYELIDS, ENTROPION, EVERTING SUTURES"
SL827E,"EYELIDS, EXPOSURE, TARSORRHAPHY (PERMANENT)"
SL828E,"EYELIDS, EXPOSURE, TARSORRHAPHY (TEMPORARY)"
SL829E,"EYELIDS, FULL THICKNESS LACERATION, REPAIR"
SL830E,"EYELIDS, HEMANGIOMA, INTRA-LESION INJECTIONS (FULL COURSE)"
SL831E,"EYELIDS, PTOSIS, CORRECTION FASANELLA (BILATERAL)"
SL832E,"EYELIDS, PTOSIS, CORRECTION FASANELLA (UNILATERAL)"
SL833E,"EYELIDS, PTOSIS, CORRECTION LEVATOR PALPEBRAE SUPERIORIS RESECTION (BILATERAL)"
SL834E,"EYELIDS, PTOSIS, CORRECTION LEVATOR PALPEBRAE SUPERIORIS RESECTION (UNILATERAL)"
SL835E,"EYELIDS, PTOSIS, CORRECTION WITH FASCIA LATA GRAFT (BILATERAL)"
SL836E,"EYELIDS, PTOSIS, CORRECTION WITH FASCIA LATA GRAFT (UNILATERAL)"
SL839E,"EYELIDS, SIMPLE LACERATION, REPAIR"
SL840E,"EYELIDS, STYE, INCISION"
SL841E,"EYELIDS, TRICHIASIS, CRYOTHERAPY"
SL842E,"EYELIDS, TRICHIASIS, ELECTROLYSIS, EPILATION"
SL843E,"EYELIDS, TUMOR, EXCISION AND REPAIR WITH FULL THICKNESS SKIN GRAFTING"
SL844E,"EYELIDS, TUMOR, EXCISION AND REPAIR WITH LOCAL FLAP"
SL845E,"EYELIDS, TUMOR, INCISIONAL BIOPSY"
SL846E,"EYELIDS, TUMOR, SHAVING EXCISION"
SL848E,"EYELIDS, VARIOUS LESIONS, UPPER BLEPHAROPLASTY, UNILATERAL"
SL849E,"EYELIDS, VARIOUS LESIONS, CANTHOPLASTY (MEDIAL/LATERAL)"
SL850E,"EYELIDS, VARIOUS LESIONS, COMPOSITE GRAFT (CHONDRO-CUTANEOUS/CHONDRO-MUCOSAL)"
SL851E,"EYELIDS, VARIOUS LESIONS, FULL THICKNESS WEDGE RESECTION WITH REPAIR"
SL852E,"EYELIDS, VARIOUS LESIONS, MULTIPLE PLASTIC LID PROCEDURES"
SL853E,"EYELIDS, VARIOUS LESIONS, RECONSTRUCTION USING FULL THICKNESS FLAP"
SL854E,"EYELIDS, VARIOUS LESIONS, WHOLE THICKNESS RECONSTRUCTION (OTHER THAN DIRECT SUTURE ONLY)"
SL855E,"EYE, GLAUCOMA, FILTERING AND ALLIED OPERATIONS AND CATARACT SURGERY, WITH OR WITHOUT INTRAOCULAR LENS IMPLANT"
SL700I,IRIS RECONSTRUCTION / PUPILLOPLASTY
SL800I,"IRIS, TUMOR, EXCISION"
SL801I,"IRIS, VARIOUS LESIONS, IRIDECTOMY/IRIDOTOMY"
SL701L,"LENS, CATARACT (PAEDIATRIC), EXTRACTION WITH ANTERIOR VITRECTOMY"
SL702L,"LENS, CATARACT (PAEDIATRIC), EXTRACTION WITH ANTERIOR VITRECTOMY - BILATERAL"
SL703L,"LENS, CATARACT (PAEDIATRIC), EXTRACTION WITH ANTERIOR VITRECTOMY AND INTRAOCULAR LENS IMPLANTATION"
SL704L,"LENS, CATARACT (PAEDIATRIC), EXTRACTION WITH ANTERIOR VITRECTOMY AND INTRAOCULAR LENS IMPLANTATION - BILATERAL"
SL705L,"LENS, COMBINED GLAUCOMA IMPLANTS WITH CATARACT EXTRACTION (WITH OR WITHOUT INTRAOCULAR LENS IMPLANTATION)"
SL706L,"LENS, COMPLICATED CATARACT EXTRACTION WITH INTRAOCULAR LENS IMPLANT (CAPSULAR TENSION RING/CAPSULAR TENSION SEGMENT/)"
SL707L,"LENS, IMPLANTATION OF POSTERIOR SEGMENT DRUG DELIVERY DEVICE"
SL708L,"LENS, SECONDARY SCLERAL FIXATED INTRAOCULAR LENS IMPLANTATION"
SL709L,"LENS, SECTORIAL LASER PHOTOCOAGULATION"
SL800L,"LACRIMAL CANALICULUS REPAIR, VARIOUS LESIONS, IMMEDIATE REPAIR"
SL801L,"LACRIMAL GLAND (LACRIMAL SAC), VARIOUS LESIONS, EXCISION"
SL802L,"LACRIMAL GLAND (PUNCTUM), VARIOUS LESIONS, SNIP OPERATION"
SL803L,"LACRIMAL GLAND, OBSTRUCTION, PROBING ONE/BOTH DUCTS"
SL804L,"LACRIMAL GLAND/DUCT, VARIOUS LESIONS, DACROCYSTORHINOSTOMY (ENDOSCOPIC/NON- ENDOSCOPIC) OR CONJUNCTIVAL-DCR (LESTER JONES TUBE)"
SL806L,"LENS, CATARACT (JUVENILE), REMOVAL AND NEEDLINGS"
SL807L,"LENS, CATARACT, EXTRACTION WITH INTRA-OCULAR LENS IMPLANT (BILATERAL)"
SL808L,"LENS, CATARACT, EXTRACTION WITH INTRA-OCULAR LENS IMPLANT (UNILATERAL LEFT)"
SL809L,"LENS, CATARACT, EXTRACTION WITH INTRA-OCULAR LENS IMPLANT (UNILATERAL RIGHT)"
SL810L,"LENS, CATARACT, EXTRACTION WITH INTRA-OCULAR LENS IMPLANT AND TRABECULECTOMY WITH/WITHOUT ANTIMETABOLITES"
SL811L,"LENS, CATARACT, EXTRACTION WITH TRABECULECTOMY"
SL812L,"LENS, VARIOUS LESIONS, EXTRACTION"
SL813L,"LENS, VARIOUS LESIONS, REMOVAL OF INTRA-OCULAR ARTIFICIAL LENS"
SL814L,"LENS, VARIOUS LESIONS, SECONDARY ANTERIOR CHAMBER INTRA-OCULAR LENS IMPLANTATION WITHOUT VITRECTOMY9"
SL815L,"LENS, VARIOUS LESIONS, YAG LASER CAPSULOTOMY"
SL700O,"OCULAR SURFACE PROCEDURE INCLUDING AMNIOTIC MEMBRANE TRANSPLANT (COMPLEX, CULTURED GRAFTS/EXTENSIVE RECONSTRUCTION)"
SL701O,OPTIC NERVE SHEATH FENESTRATION
SL702O,"ORBIT, RECONSTRUCTION, EXTENSIVE FLOOR/MEDIAL WALL FRACTURE"
SL703O,"ORBIT, VARIOUS LESIONS OF MID TO POSTERIOR ORBIT, EXCISION"
SL704O,"ORBIT, VARIOUS LESIONS, ANTERIOR ORBITOTOMY (EXTENSIVE)"
SL705O,"ORBIT, VARIOUS LESIONS, EXTENDED LATERAL ORBITOTOMY"
SL706O,"ORBIT, VARIOUS LESIONS, OPTIC NERVE DECOMPRESSION (BILATERAL)"
SL707O,"ORBIT, VARIOUS LESIONS, OPTIC NERVE DECOMPRESSION (UNILATERAL)"
SL708O,"ORBITAL/SCLERAL, EVISCERATION WITH IMPLANT & SCLERAL BALL"
SL800O,"ORBIT, CONTRACTURE, RECONSTRUCTION INCLUDING MUCOUS MEMBRANE GRAFTING AND STENT MOULD"
SL801O,"ORBIT, TUMOR, EXENTERATION/FLAP RECONSTRUCTION"
SL802O,"ORBIT, VARIOUS LESIONS/TUMOURS, EXENTERATION/REMOVAL VIA CRANIOTOMY"
SL803O,"ORBIT, VARIOUS LESIONS, ANTERIOR ORBITOTOMY"
SL804O,"ORBIT, VARIOUS LESIONS, DECOMPRESSION (BILATERAL)"
SL805O,"ORBIT, VARIOUS LESIONS, DECOMPRESSION (UNILATERAL)"
SL806O,"ORBIT, TUMOUR, EXENTERATION WITH ORBITECTOMY & PRIMARY RECONSTRUCTION"
SL807O,"ORBIT, VARIOUS LESIONS, LATERAL ORBITOTOMY"
SL808O,"ORBIT, VARIOUS LESIONS, RECONSTRUCTION INCLUDING ORBITAL SHIFT AND SOFT TISSUE (CRANIOFACIAL APPROACH)"
SL809O,"ORBIT, VARIOUS LESIONS, RECONSTRUCTION OF FLOOR/ROOF WITH BONE GRAFT"
SL810O,"ORBIT, VARIOUS LESIONS, RECONSTRUCTION OF FLOOR/ROOF WITH ALLOPLASTIC MATERIAL"
SL700P,PHOTODYNAMIC THERAPY
SL701P,PHOTOREFRACTIVE KERATECTOMY/PHOTOTHERAPEUTIC KERATECTOMY (FOR DISEASED EYE)
SL700R,"RETINA, LASER RETINOPEXY, COMPLEX (SUBRETINAL FLUID, VITREOUS HAEMORRHAGE,  MULTIPLE TEARS)"
SL701R,"RETINA, PNEUMATIC RETINOPEXY"
SL702R,"RETINA, ROP (RETINOPATHY OF PREMATURITY) LASER PHOTOCOAGULATION"
SL703R,"RETINA, TRANS PARS PLANA POSTERIOR CAPSULECTOMY"
SL704R,"RETINA/MACULA, GRID AND FOCAL LASER PHOTOCOAGULATION"
SL705R,"RETINA, PAN RETINAL PHOTOCOAGULATION"
SL800R,"RETINA, DETACHMENT, REMOVAL OF ENCIRCLING SILICONE BAND"
SL801R,"RETINA, DETACHMENT, RESECTION/BUCKLING OPERATION/REVISION OPERATION WITH SINGLE PLOMB"
SL802R,"RETINA, DETACHMENT (COMPLEX), OPERATION (MORE THAN ONE PLOMB/ENCIRCLAGE)10"
SL803R,"RETINA, TEARS, DIATHERMY/CRYOTHERAPY (UNILATERAL)"
SL804R,"RETINA, TEARS, CRYOTHERAPY OR PHOTOCOAGULATION (LASER) (BILATERAL)"
SL805R,"RETINA, TEARS, PHOTOCOAGULATION (LASER) (UNILATERAL)"
SL806R,"RETINAL, DETACHMENT, REMOVAL OF PARTIALLY EXTRUDED PLOMB"
SL700T,TEMPORAL ARTERY BIOPSY
SL700V,"VITREOUS, INTRAVITREAL INJECTIONS"
SL701V,"VITREOUS, VARIOUS LESIONS, COMPLEX POSTERIOR VITRECTOMY (PVR, GRT, TRAUMA)"
SL800V,"VITREOUS, VARIOUS LESIONS, SIMPLE VITRECTOMY (PARS PLANA OR VITREOUS WASHOUT)"
SL801V,"VITREOUS, VARIOUS LESIONS, POSTERIOR VITRECTOMY (PARS PLANA/ SCLEROTOMY/ LENSECTOMY-EXTRACTION WITH INTRA-OCULAR LENS IMPLANT/ ENDOLASER/ MEMBRANE PEELS)"
SL802V,"VITREOUS, VARIOUS LESIONS, VITRECTOMY (PARS PLANA/REMOVAL OF SILICONE OIL)"
SL800Z,ORGAN PROCUREMENT COSTS: CORNEA11
SM700A,"ADENOIDS, VARIOUS LESIONS, REMOVAL"
SM700E,"EAR, AUDITORY MEATUS (INTERNAL), TUMOR, TRANSMASTOID REMOVAL WITH EXTENDED MASTOIDECTOMY"
SM701E,"EAR (MIDDLE), COCHLEAR IMPLANT"
SM702E,"EAR (MIDDLE), VARIOUS LESIONS (BENIGN CONDITION), EXCISION BIOPSY"
SM703E,"EAR, AURAL TOILET BY MICROSCOPY (COMPLEX) EG. IMPACTED EAR WAX/FOREIGN BODY/DISCHARGE"
SM704E,"EAR, EXCISION PSEUDOCYST PINNA"
SM706E,"EAR, BILATERAL PREAURICULAR SINUS EXCISION"
SM707E,"EAR, TYMPANIC MEMBRANE, BILATERAL MYRINGOTOMY WITHOUT TUBE"
SM708E,"EAR, TYMPANIC MEMBRANE, BILATERAL MYRINGOTOMY WITH TUBE"
SM709E,"EAR, TYMPANIC MEMBRANE, PERFORATION, CAUTERISATION/DIATHERMY"
SM710E,"EAR, TYMPANIC MEMBRANE, PERFORATION, ROUND WINDOW REPAIR"
SM711E,"EAR, IMPLANTATION OF BONE-ANCHORED HEARING AID"
SM712E,"EAR (MIDDLE), MIDDLE EAR IMPLANT SURGERY"
SM800E,"EAR (MIDDLE), ABSCESS/INFLAMMATION, OPERATION"
SM801E,"EAR (MIDDLE), ROUND WINDOW PERFORATION, REPAIR"
SM802E,"EAR (MIDDLE), VARIOUS LESIONS, EXPLORATION AND TYMPANOTOMY"
SM803E,"EAR (MIDDLE), VARIOUS LESIONS, STAPEDECTOMY"
SM804E,"EAR, CAULIFLOWER EAR, CORRECTION"
SM805E,"EAR, CONGENITAL ATRESIA, RECONSTRUCTION OF EXTERNAL AUDITORY CANAL AND MIDDLE EAR"
SM806E,"EAR, DEFORMITY, COMPOSITE GRAFT"
SM807E,"EAR, DEFORMITY, CORRECTION (BILATERAL)"
SM808E,"EAR, DEFORMITY, CORRECTION (UNILATERAL)"
SM809E,"EAR, DEFORMITY, LOBULE RECONSTRUCTION (BILATERAL)"
SM810E,"EAR, DEFORMITY, LOBULE RECONSTRUCTION (UNILATERAL)"
SM811E,"EAR, EXOSTOSIS OBTURANS, EXCISION BIOPSY"
SM812E,"EAR, FOREIGN BODY,  REMOVAL"
SM813E,"EAR, FOREIGN BODY, COMPLEX REMOVAL/EXCISION (EMBEDDED/LARGE)"
SM814E,"EAR, HEMATOMA/SEROMA, EVACUATION/INCISION & DRAINAGE"
SM815E,"EAR, KERATOSIS OBTURANS MODERATE/SEVERE, EXCISION BIOPSY UNDER GA"
SM816E,"EAR, LACERATION (FULL THICKNESS), REPAIR > 3CM"
SM817E,"EAR, LACERATION, WOUND DEBRIDEMENT"
SM818E,"EAR, MICROTIA, CREATION OF POST-AURICULAR SULCUS WITH SKIN GRAFT"
SM819E,"EAR, MICROTIA, INSERTION OF CARTILAGE/SILASTIC FRAMEWORK"
SM820E,"EAR, MICROTIA, REPOSITIONING OF LOBULE"
SM821E,"EAR, PARTIAL AMPUTATION, RECONSTRUCTION"
SM822E,"EAR, POLYP, REMOVAL"
SM823E,"EAR, UNILATERAL PRE AURICULAR SINUS EXCISION"
SM824E,"EAR, SEBACEOUS CYST, EXCISION"
SM825E,"EAR, TOTAL AMPUTATION, MICROVASCULAR RECONSTRUCTION"
SM826E,"EAR, TOTAL AMPUTATION, STAGED RECONSTRUCTION (EACH STAGE)"
SM827E,"EAR, VARIOUS LESIONS, MEATOPLASTY/CANALPLASTY WITH / WITHOUT SPLIT SKIN GRAFT"
SM829E,"EAR, VARIOUS LESIONS, MYRINGOPLASTY (POST- AURAL/ENDAURAL APPROACH)"
SM830E,"EAR, VARIOUS LESIONS, MYRINGOPLASTY (SIMPLE)"
SM831E,"EAR, TYMPANIC MEMBRANE, UNILATERAL,MYRINGOTOMY WITHOUT TUBE"
SM832E,"EAR, TYMPANIC MEMBRANE, UNILATERAL MYRINGOTOMY WITH TUBE"
SM833E,"EAR, VARIOUS LESIONS, OSSICULAR CHAIN RECONSTRUCTION WITH/WITHOUT MYRINGOPLASTY"
SM834E,"EAR, VARIOUS LESIONS, VARIOUS GRAFT TO FENESTRATION CAVITY"
SM835E,"ENDOLYMPHATIC SAC, VARIOUS LESIONS, TRANSMASTOID SHUNT PROCEDURE"
SM836E,"EAR, EUSTACHIAN TUBE, VARIOUS LESIONS, CATHETERISATION/INFLATION"
SM837E,"EAR, VARIOUS LESIONS, MIDDLE FOSSA EXTRA-DURAL APPROACH TO TEMPORAL BONE WITH/WITHOUT TRANSMASTOID APPROACH COMBINED ACCESS"
SM838E,"EAR, VARIOUS LESIONS, MYRINGOPLASTY (LATERAL GRAFT/ONLAY GRAFT TECHNIQUE) WITH/WITHOUT CANALPLASTY"
SM839E,"EAR, TYMPANIC MEMBRANE, UNILATERAL, TRANSTYMPANIC PERFUSION OF DRUGS, WITH INJECTIONS/MYRINGOTOMY INCLUDING REPEAT PROCEDURES DURING A 90-DAY PERIOD IN THE SAME EAR"
SM700I,INFERIOR TURBINATE REDUCTION (SUBMUCOUS DIATHERMY/RADIOFREQUENCY)
SM701L,"LARYNX, TRANSCUTANEOUS INJECTION OF LARYNX"
SM702L,"LARYNX AND ESOPHAGUS, TUMOR, ESOPHAGECTOMY (TOTAL)/ LARYNGOPHARYNGECTOMY WITH RESTORATION OF ALIMENTARY CONTINUITY"
SM703L,"LARYNX AND PHARYNX, VARIOUS LESIONS, LASER APPLICATION"
SM704L,"LARYNX AND TRACHEA, VARIOUS LESIONS, MAJOR MICROSURGERY WITHOUT RECONSTRUCTION"
SM705L,"LARYNX AND TRACHEA, VARIOUS LESIONS, MAJOR PLASTIC OPERATION"
SM706L,"LARYNX, FRACTURES, OPERATION"
SM707L,"LARYNX, LARYNOGOFISSURE, EXTERNAL OPERATION"
SM708L,"LARYNX, TUMOR, LARYNGECTOMY (TOTAL)"
SM709L,"LARYNX, LARYNGECTOMY WITH BILATERAL NECK DISSECTION"
SM710L,"LARYNX, LARYNGECTOMY WITH UNILATERAL NECK DISSECTION"
SM711L,LARYNGOSCOPY WITH REMOVAL OF TUMOUR/LESIONS
SM712L,"LARYNX, TUMOR, PARTIAL LARYNGECTOMY"
SM713L,"LARYNX, TUMOR, PARTIAL LARYNGECTOMY WITH BLOCK NECK DISSECTION"
SM714L,"LARYNX, VARIOUS DISORDERS, LARYNGEAL FRAMEWORK SURGERY, THYROPLASTY TYPES I-IV INCLUDING OPEN MEDIALISATION"
SM716L,"LARYNX, VARIOUS LESIONS, DIRECT LARYNGOSCOPE EXAMINATION WITH/WITHOUT BIOPSY"
SM717L,"LARYNX, VARIOUS LESIONS, HEMI/PARTIAL LARYNGECTOMY"
SM718L,"LARYNX, VARIOUS LESIONS, HEMI/PARTIAL LARYNGECTOMY WITH RADICAL NECK DISSECTION"
SM800L,"LABYRINTH, VARIOUS LESIONS, DESTRUCTION/LABYRINTHOTOMY"
SM700M,"MAXILLA, SINUSES, SINOSCOPY"
SM701M,"MOUTH, CAUTERY OF SOFT PALATE /TONGUE BASE"
SM702M,"MOUTH, VARIOUS/PATHOLOGIC LESIONS OF ORAL MUCOSA, LASER APPLICATION"
SM703M,"MOUTH, VARIOUS LESIONS, PHARYNGOTOMY (LATERAL) WITH EXCISION OF TONGUE"
SM704M,"MOUTH, VARIOUS LESIONS, UVULOTOMY"
SM800M,"MASTOID, VARIOUS LESIONS, MASTOIDECTOMY (CORTICAL)"
SM801M,"MASTOID, VARIOUS LESIONS, MASTOIDECTOMY (RADICAL/MODIFIED RADICAL) WITH MYRINGOPLASTY AND OSSICULAR CHAIN RECONSTRUCTION"
SM802M,"MASTOID, VARIOUS LESIONS, MASTOIDECTOMY (RADICAL/MODIFIED)"
SM803M,"MASTOID, VARIOUS LESIONS, MASTOIDECTOMY (RADICAL/MODIFIED) WITH MYRINGOPLASTY"
SM804M,"MASTOID, VARIOUS LESIONS, REVISION MASTOIDECTOMY"
SM839M,"MASTOID, VARIOUS LESIONS, OBLITERATION / REDUCTION OF CAVITY"
SM700N,"NOSE, NASOENDOSCOPY/NASOPHARYNGOLARYNGOSCOPY (SINGLE OR REPEAT EXAMINATIONS, DURING A 90 DAY GLOBAL PERIOD)"
SM701N,"NOSE, CHOANAL ATRESIA, PLASTIC REPAIR"
SM702N,"NOSE, CHOANAL ATRESIA, REPAIR BY PUNCTURE AND DILATATION"
SM703N,"NOSE, FOREIGN BODY, REMOVAL"
SM704N,"NOSE, HEMATOMA/ABSCESS, EVACUATION/INCISION & DRAINAGE"
SM705N,"NOSE, HEMORRHAGE, HEMOSTASIS (PACKING)/CRYOTHERAPY)"
SM706N,"NOSE, LACERATION FULL THICKNESS, REPAIR >3CM"
SM707N,"NOSE, POLYPI (COMPLEX), NASOENDOSCOPY WITH EXCISION BIOPSY, MORE THAN 2"
SM708N,"NOSE, POLYPI (SIMPLE), NASOENDOSCOPY WITH EXCISION BIOPSY, 1 TO 2"
SM709N,"NOSE, POST-NASAL SPACE, LASER APPLICATION"
SM710N,"NOSE, RHINOPHYMA, EXCISION"
SM711N,"NOSE, RHINOPHYMA, TOTAL CONSTRUCTION"
SM712N,"NOSE, SIMPLE FRACTURE, MANIPULATION"
SM713N,"NOSE, VARIOUS LESIONS (POSTNASAL SPACE), DIRECT EXAMINATION WITH BIOPSY AND NASENDOSCOPY"
SM714N,"NOSE, VARIOUS LESIONS (TURBINATES), TURBINECTOMY/TURBINOPLASTY/SUBMUCOUS RESECTION (WITH OR WITHOUT ENDOSCOPES)"
SM715N,"NOSE, VARIOUS LESIONS, CAUTERISATION/DIATHERMY"
SM716N,"NOSE, VARIOUS LESIONS, COMPOSITE GRAFT (CHONDRO-CUTANEOUS/CHONDRO-MUCOSAL)"
SM717N,"NOSE, VARIOUS LESIONS, EXAMINATION"
SM718N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (AUGMENTATION EXCLUDING COST OF IMPLANTS)"
SM719N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (CORRECTION OF BONY VAULT ONLY)"
SM720N,"NOSE, RHINOPLASTY, CORRECTION OF LATERAL/ALAR CARTILAGE AND/OR SEPTAL STRUT (INCLUDING ALL GRAFTS, EXTRACORPOREAL SEPTOPLASTY), RECONSTRUCTION OF NASAL VALVE(S), AND/OR EXTRANASAL CARTILAGE HARVEST"
SM721N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (RESTORATION OF THE FACE INVOLVING AUTOGENOUS BONE OR COSTAL CARTILAGE GRAFT)"
SM722N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (SECONDARY REVISION)"
SM723N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (TOTAL) INCLUDING CORRECTION OF ALL BONY AND CARTILAGINOUS ELEMENTS"
SM724N,"NOSE, VARIOUS LESIONS, SEPTOPLASTY/SUBMUCOUS RESECTION"
SM700P,"PHARYNX, ADHESIONS, DIVISION"
SM701P,"PHARYNX, CYSTS/VALLECULAR, REMOVAL"
SM702P,"PHARYNX, POUCH, REMOVAL"
SM703P,"PHARYNX, TUMOR, PARTIAL PHARYNGECTOMY AND RADICAL NECK DISSECTION WITH FLAP"
SM704P,"PHARYNX, VARIOUS LESIONS, FLAP/PHARYNGOPLASTY"
SM705P,"PHARYNX, VARIOUS LESIONS, PARTIAL PHARYNGECTOMY WITH PRIMARY CLOSURE"
SM706P,"PHARYNX, VARIOUS LESIONS, PHARYNGOTOMY (LATERAL) WITH EXCISION OF TONGUE AND RECONSTRUCTION"
SM707P,"PHARYNX, TONGUE BASE, FOR OSA, EXCISION OF LINGUAL TONSILS"
SM700S,"SKULL/FACE, MALIGNANT TUMOUR/TRAUMA, CRANIOFACIAL RESECTION"
SM702S,"SINAL-NASAL, ENDOSCOPIC HEMOSTASIS (COMPLEX, UNDER GENERAL ANAESTHESIA)"
SM703S,"SINUSES, NASAL, INFECTION, FUNCTIONAL SINUSCOPIC ETHMOIDECTOMY (BILATERAL)"
SM705S,"SINUSES, ETHMOIDAL, VARIOUS LESIONS, EXTERNAL OPERATION"
SM706S,"SINUSES, NASAL, FOREIGN BODY/OTHER LESIONS, INTRANASAL OPERATION/REMOVAL OF FOREIGN BODY"
SM707S,"SINUSES, NASAL, HEMATOMA/ABSCESS, ANTRAL DRAINAGE"
SM708S,"SINUSES, NASAL, INFECTION, FUNCTIONAL SINUSCOPIC DRAINAGE OF ETHMOIDAL/ MAXILLARY SINUSES"
SM709S,"SINUSES, NASAL, INFECTION, FUNCTIONAL SINUSCOPIC ETHMOIDECTOMY (UNILATERAL)"
SM710S,"SINUSES, NASAL, ORO-ANTRAL FISTULA, CLOSURE"
SM711S,"SINUSES, NASAL, VARIOUS LESIONS OF ANTRUM, PROOF PUNCTURE AND/OR LAVAGE"
SM712S,"SINUSES, NASAL, VARIOUS LESIONS, ANTROSTOMY (RADICAL)"
SM713S,"SINUSES, NASAL, VARIOUS LESIONS, FRONTO- ETHMOIDECTOMY (RADICAL) WITH OSTEOPLASTIC FLAP"
SM714S,"SINUSES, NASAL, VARIOUS LESIONS, FRONTO-NASAL ETHMOIDECTOMY WITH/WITHOUT SPHENOIDOTOMY"
SM715S,"SINUSES, NASAL, VARIOUS LESIONS, INTRANASAL OPERATION"
SM716S,"SINUSES, SPHENOIDAL, VARIOUS LESIONS, INTRANASAL OPERATION"
SM717S,"SINUSES FRONTAL, VARIOUS LESIONS, CATHETERISATION"
SM718S,"SINUSES FRONTAL, VARIOUS LESIONS, RADICAL OBLITERATION"
SM719S,"SINUSES FRONTAL, VARIOUS LESIONS, TREPHINE"
SM720S,"SINUSES-NASAL, VARIOUS LESIONS, LAVAGE THROUGH AN ORO-ANTRAL PERFORATION"
